Organization,Case Mgmt.,Housing,ESL,Income/Jobs,Starting Biz,Ed/children,Ed/Adult,Social connection,Civic Engagement,Nutrition & Health,Navigating Day-to-Day Logistics,Partners/Collaborators,Affiliation ,Website link,Revenue,Expenses,Year,Costs,Annual Reports,Year
Alliance for Refugee Youth Support and Empowerment (ARYSE),No,,No,No,,PRYSE Academy,,Girls Art and Maker Group,Empowered Afghan Youth,,,https://www.arysepgh.org/impact,Refugee/Afghan,https://www.arysepgh.org/,"$678,671","$850,431",2023,,,
,,,,,,Afterschool Club,,,,,,,,,,,,,,
,,,,,,Post Secondary Support,,,,,,,,,,,,,,
Office of Immigrant and Refugee Affairs (OIRA),No,Renting to Refugee Program,No,No,,,,Latinos in Pittsburgh,,,,,Refugees & Immigrants,https://www.pittsburghpa.gov/City-Government/Mayor/Office-of-Immigrant-and-Refugee-Affairs,Pittsburgh Welcome Road Map https://www.pittsburghpa.gov/files/assets/city/v/1/wp/documents/welcomingpittsburgh_roadmap_fullreport_final2.pdf,,,,,
,,,,,,,,Welcome Communities network,,,,,,,,,,,,
Immigrants and Internationals Advisory Council (with Allegheny County),No,,Yes,,,,The Immigrant Community Blueprint,,Internships,Food Assistance,,,Refugees and Immigrants,https://www.alleghenycounty.us/Services/Human-Services-DHS/DHS-Advisory-Boards/Immigrants-and-Internationals-Advisory-Council,,,,,,
,,,,,,,Language Access,,,Health Care,,,,,,,,,,
,,,,,,,Job Development,,,Family Support Centers,,,,,,,,,,
,,,,,,Afterschool Programs,,,,,,,,,,,,,,
Global Wordsmith,No,,Yes,Yes,,,Translation,,,,,https://www.globalwordsmiths.com/the-language-access-project,,https://www.globalwordsmiths.com,$4.5 million,,,,,
,,,,,,,Interpretation,,,,,,,,,,,,,
,,,,,,,Localization,,,,,,,,,,,,,
,,,,,,,Consulting,,,,,,,,,,,,,
,,,,,,,Training,,,,,,,,,,,,,
Global Switchboard,No,,No,No,,,,,Human Rights City Alliance,,,https://theglobalswitchboard.org/aboutus/,Immigrants,https://theglobalswitchboard.org,"$590,977","$156,857",2023,,,
,,,,,,,,,State of Equitable Global Engagement in Pittsburgh,,,,,,,,,,,
,,,,,,,,,All for all,,,,,,,,,,,
,,,,,,,,,Welcome Mat Campaign,,,,,,,,,,,
World Affairs Council,No,,No,No,,Youth Programming,,,,,,https://worldpittsburgh.networkforgood.com/projects/252069-2025-spring-campaign/,Immigrants and Refugees,https://worldpittsburgh.org,"$731,846","$810,865",2023,,,
,,,,,,,Public Programming,,,,,,,,,,,,,
United Somali Bantu  Of Greater Pittsburgh,Yes,Housing Assistance,Yes,No,,,Translation Services,Community Center,,Mental Health and Family Services,Hardship Family Assistance,https://www.unitedsomalibantu.org/our-partners,Somali Bantu,https://www.unitedsomalibantu.org,"$80,436","$45,924",2018,,,
,,,,,,,Career Counseling,Community Events,,Diaper Bank,Basic Necessity Assistance,,,,,,,,,
,,,,,,,Cultural Orientation Classes,Community Gardens,,,,,,,,,,,,
Somali Bantu Community Association,No,,Yes,No,,Kashekee Youth Program,,,,,,,Somali Bantu,https://somalibantumaine.org,"$1,200","$1,200",2022,,,
,,,,,,,Liberation Farms,,,,,,,,,,,,,
,,,,,,,Translation & Intrepretation Services,,,,,,,,,,,,,
Haitian Families First,No,,No,No,,,,,,Nutrition,,,Haitian,http://www.haitianfamiliesfirst.org,"$46,759","$41,344",2023,,,
,,,,,,,,,,Health and Wellness,,,,,,,,,,
,,,,,,,,,,Education,,,,,,,,,,
Nigerian Association of Pittsburgh,No,,No,No,,,Parenting Workships,Ambassadors for Youth Advocacy,,,,,Nigerian,https://amachipgh.org,"$1,920,411","$1,243,597",2023,,,
,,,,,,,Mentorship,,,,,,,,,,,,,
Congolese Union of Pittsburgh,No,,No,No,,,,,,,,,Congolese,https://www.congopgh.org,,,,,,
Open Field,No,,No,No,,Saturday soccer league (Youth Competitive or friendly),,,,,,,"Cameroon, Guinea, Cyprus",https://openfieldintl.org,"$491,918","$415,809",2023,,,
,,,,,,Career Readiness (Youth Skills and career focus),,,,,,,,,,,,,,
,,,,,,Post Secondary Education (College Prep  and support),,,,,,,,,,,,,,
Union of African Communities in Southwestern PA (UAC),,,,No,,,,,,,,,"Immigrants, Refugees, Students, and Internationals",https://uacpittsburgh.org,,,,,,
City of Asylum,No,Writer and Artist Residency Program,No,No,,,"Alphabet City (Readings, Concerts, Coffee Shop)",Jazz Poetry Festival,,,,,Writers and Immigrants,https://cityofasylum.org,"$1,283,016","$1,859,240",2023,,,
,,Fellowship for Ukrainian Writers,,,,,,Literature Festival,,,,,,,,,,,,
Global Pittsburgh,No,International Exchange Programs,,No,,,,,International Delegations,,,,International Students and Business Professionals,https://www.globalpittsburgh.org,"$590,977","$156,857",2023,,,
Global Links,Yes,,,No,,,"International Medicaid Aid (Bolivia, Cuba, Honduras, Nicaragua)",,,Medical Surplus Recovery ,,,Immigrants/Refugees,https://globallinks.org,"$5,779,589","$5,655,933",2023,,,
,,,,,,,Domestic Medicaid Aid,,,,,,,,,,,,,
Japan-America Society of Pennsylvania (JASP),No,,No,No,,Educational Resources,,Taiko Traditional Dance Group,,,,,Japanese American,https://www.japansocietypa.org/,"$174,087","$173,976",2024,,,
Idea Foundry,No,,No,No,,,Entrepreneurial Investment ,,,,,,Entrepreneurs ,https://www.ideafoundry.org/about,"$353,744","$708,975",2023,,,
Pennsylvania Immigration and Citizenship Coalition (PICC),No,,No,No,,,,Uplifting immigrant communities ,New Citizen Voters Initiative,,,,Immigrant & Refugee,https://www.paimmigrant.org,"$912,068","$682,609",2020,,,
South Hills Interfaith Movement (SHIM),Yes,,Yes,No,,,Economic Mentorship,,,,"Food, Clothing Utility Assistance",,Refugee Community ,https://shimcares.org,,,,,,
,,,,,,Youth Support,,,,,Financial Assitance,,,,,,,,,
